655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Autobiographies France 20th century. rbmscv,623,Autobiographies France 20th century. rbmscv,,Autobiographies,"France 20th century, rbmscv",0.88,
Autobiographies France Paris 18th century. rbgenr,624,Autobiographies France Paris 18th century. rbgenr,,Autobiographies,"France Paris 18th century, rbgenr",0.88,
Autobiographies Massachusetts Boston 20th century. rbgenr,625,Autobiographies Massachusetts Boston 20th century. rbgenr,,Autobiographies,"Massachusetts Boston 20th century, rbgenr",0.88,
Autobiographies Spain Madrid 18th century. rbgenr,626,Autobiographies Spain Madrid 18th century. rbgenr,,Autobiographies,"Spain Madrid 18th century, rbgenr",0.88,
Autobiographies United States 19th century. rbgenr,627,Autobiographies United States 19th century. rbgenr,,Autobiographies,"United States 19th century, rbgenr",0.88,
Autobiographies United States 20th century. rbgenr,628,Autobiographies United States 20th century. rbgenr,,Autobiographies,"United States 20th century, rbgenr",0.88,
Autobiographies. rbgenr,629,Autobiographies. rbgenr,,Autobiographies,rbgenr,1.0,
Autobiographies. rbmscv,630,Autobiographies. rbmscv,,Autobiographies,rbmscv,1.0,
Autographs (Provenance) 20th century. rbprov MMeT,631,Autographs (Provenance) 20th century. rbprov MMeT,,Autographs,"(Provenance) 20th century, rbprov, MMeT",0.9,
Autographs (Provenance) rbmscv PPA,632,Autographs (Provenance) rbmscv PPA,,Autographs,"(Provenance), rbmscv, PPA",0.9,
Autographs (Provenance) rbprov MMeT,633,Autographs (Provenance) rbprov MMeT,,Autographs,"(Provenance), rbprov, MMeT",0.9,
Autographs. rbmscv,634,Autographs. rbmscv,,Autographs,rbmscv,1.0,
Autographs. rbmscv CU-BANC,635,Autographs. rbmscv CU-BANC,,Autographs,"rbmscv, CU-BANC",0.9,
Autographs. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00177,636,Autographs. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00177,,Autographs,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00177",0.92,
Autographs. rbmscv MMeT,637,Autographs. rbmscv MMeT,,Autographs,"rbmscv, MMeT",0.9,
Baccalaureate addresses 1800. rbgenr,638,Baccalaureate addresses 1800. rbgenr,,Baccalaureate addresses,"1800, rbgenr",1.0,
Backless bindings (Binding) rbmscv,639,Backless bindings (Binding) rbmscv,,Backless bindings,"(Binding), rbmscv",1.0,
Backless bindings. rbmscv,640,Backless bindings. rbmscv,,Backless bindings,rbmscv,1.0,
Ballads 1965. rbgenr,641,Ballads 1965. rbgenr,,Ballads,"1965, rbgenr",0.88,
Ballads England 17th century. rbgenr,642,Ballads England 17th century. rbgenr,,Ballads,"England 17th century, rbgenr",0.88,
Ballads. rbgenr,643,Ballads. rbgenr,,Ballads,rbgenr,1.0,
Bamboo fibers (Paper) United States 21st century. rbpap,644,Bamboo fibers (Paper) United States 21st century. rbpap,,Bamboo fiber papers,"United States 21st century, rbpap",0.95,
Banned works 20th century. rbmscv,645,Banned works 20th century. rbmscv,,Banned works,"20th century, rbmscv",1.0,
Bevelled edge boards (Binding) Germany 16th century. rbbin MMeT,646,Bevelled edge boards (Binding) Germany 16th century. rbbin MMeT,,Bevelled edge boards,"(Binding) Germany 16th century, rbbin, MMeT",0.9,
Bibliographies. rbgenr,647,Bibliographies. rbgenr,,Bibliographies,rbgenr,1.0,
Bibliographies. rbmscv,648,Bibliographies. rbmscv,,Bibliographies,rbmscv,1.0,
Bildungsromane 1903. rbgenr,649,Bildungsromane 1903. rbgenr,,Bildungsromane,"1903, rbgenr",1.0,
Bildungsromane 1940. rbgenr,650,Bildungsromane 1940. rbgenr,,Bildungsromane,"1940, rbgenr",1.0,
Bildungsromane 1974. rbgenr,651,Bildungsromane 1974. rbgenr,,Bildungsromane,"1974, rbgenr",1.0,
Bildungsromans 1903. rbgenr,652,Bildungsromans 1903. rbgenr,,Bildungsromane,"1903, rbgenr",0.8,variant pluralization
Bildungsromans 1951. rbgenr,653,Bildungsromans 1951. rbgenr,,Bildungsromane,"1951, rbgenr",0.8,
Bildungsromans 1983. rbgenr,654,Bildungsromans 1983. rbgenr,,Bildungsromane,"1983, rbgenr",0.8,
Bildungsromans 1994. rbgenr,655,Bildungsromans 1994. rbgenr,,Bildungsromane,"1994, rbgenr",0.8,
Bildungsromans. rbgenr,656,Bildungsromans. rbgenr,,Bildungsromane,rbgenr,0.8,
Binders' instructions (Binding) England 18th century. rbbin MMeT,657,Binders' instructions (Binding) England 18th century. rbbin MMeT,,Binders' instructions,"(Binding) England 18th century, rbbin, MMeT",0.9,
Binding errors (Binding) rbbin,658,Binding errors (Binding) rbbin,,Binding errors,"(Binding), rbbin",1.0,
Binding errors (Binding) rbbin MMeT,659,Binding errors (Binding) rbbin MMeT,,Binding errors,"(Binding), rbbin, MMeT",0.95,
Binding labels (Binding) 17th century. rbbin MMeT,660,Binding labels (Binding) 17th century. rbbin MMeT,,Binding labels,"(Binding) 17th century, rbbin, MMeT",0.9,
Binding labels (Binding) rbbin,661,Binding labels (Binding) rbbin,,Binding labels,"(Binding), rbbin",0.95,
Binding labels (Binding) rbbin MMeT,662,Binding labels (Binding) rbbin MMeT,,Binding labels,"(Binding), rbbin, MMeT",0.95,
Binding labels (Binding). rbbin,663,Binding labels (Binding). rbbin,,Binding labels,"(Binding), rbbin",0.95,
Biographical fiction 1930. rbgenr,664,Biographical fiction 1930. rbgenr,,Biographical fiction,"1930, rbgenr",1.0,
Biographical fiction 1949. rbgenr,665,Biographical fiction 1949. rbgenr,,Biographical fiction,"1949, rbgenr",1.0,
Biographical fiction 1952. rbgenr,666,Biographical fiction 1952. rbgenr,,Biographical fiction,"1952, rbgenr",1.0,
Biographical fiction 1989. rbgenr,667,Biographical fiction 1989. rbgenr,,Biographical fiction,"1989, rbgenr",1.0,
Biographical fiction 2004. rbgenr,668,Biographical fiction 2004. rbgenr,,Biographical fiction,"2004, rbgenr",1.0,
Biographical fiction. rbgenr,669,Biographical fiction. rbgenr,,Biographical fiction,rbgenr,1.0,
Biographies 16th century. rbgenr,670,Biographies 16th century. rbgenr,,Biographies,"16th century, rbgenr",1.0,
Biographies 1888. rbgenr,671,Biographies 1888. rbgenr,,Biographies,"1888, rbgenr",1.0,
Biographies 18th century. rbgenr,672,Biographies 18th century. rbgenr,,Biographies,"18th century, rbgenr",1.0,
Biographies 1951. rbgenr,673,Biographies 1951. rbgenr,,Biographies,"1951, rbgenr",1.0,
Biographies 1979. rbgenr,674,Biographies 1979. rbgenr,,Biographies,"1979, rbgenr",1.0,
Biographies 1989. rbgenr,675,Biographies 1989. rbgenr,,Biographies,"1989, rbgenr",1.0,
Biographies 1992. rbgenr,676,Biographies 1992. rbgenr,,Biographies,"1992, rbgenr",1.0,
Biographies 1999. rbgenr,677,Biographies 1999. rbgenr,,Biographies,"1999, rbgenr",1.0,
Biographies 19th century. rbgenr,678,Biographies 19th century. rbgenr,,Biographies,"19th century, rbgenr",1.0,
Biographies 2000. rbgenr,679,Biographies 2000. rbgenr,,Biographies,"2000, rbgenr",1.0,
Biographies 2004. rbgenr,680,Biographies 2004. rbgenr,,Biographies,"2004, rbgenr",1.0,
Biographies 20th century. rbgenr,681,Biographies 20th century. rbgenr,,Biographies,"20th century, rbgenr",1.0,
Biographies England London 17th century. rbgenr,682,Biographies England London 17th century. rbgenr,,Biographies,"England London 17th century, rbgenr",0.88,
Biographies England London 18th century. rbgenr,683,Biographies England London 18th century. rbgenr,,Biographies,"England London 18th century, rbgenr",0.88,
Biographies Great Britain 20th century. rbgenr,684,Biographies Great Britain 20th century. rbgenr,,Biographies,"Great Britain 20th century, rbgenr",0.88,
Biographies Italy 17th century. rbgenr,685,Biographies Italy 17th century. rbgenr,,Biographies,"Italy 17th century, rbgenr",0.88,
Biographies Italy Naples 18th century. rbgenr,686,Biographies Italy Naples 18th century. rbgenr,,Biographies,"Italy Naples 18th century, rbgenr",0.88,
Biographies United States 1978. rbgenr,687,Biographies United States 1978. rbgenr,,Biographies,"United States 1978, rbgenr",0.88,
Biographies United States 19th century. rbgenr,688,Biographies United States 19th century. rbgenr,,Biographies,"United States 19th century, rbgenr",0.88,
Biographies. rbgenr,689,Biographies. rbgenr,,Biographies,rbgenr,1.0,
Biographies. rbgenr (local)335327,690,Biographies. rbgenr (local)335327,,Biographies,"rbgenr, (local)335327",0.85,
Biographies. rbgenr E8W,691,Biographies. rbgenr E8W,,Biographies,"rbgenr, E8W",0.85,
Biographies. rbgenr LO/C32,692,Biographies. rbgenr LO/C32,,Biographies,"rbgenr, LO/C32",0.85,
Biographies. rbgenr LO/C43,693,Biographies. rbgenr LO/C43,,Biographies,"rbgenr, LO/C43",0.85,
Biographies. rbmscv,694,Biographies. rbmscv,,Biographies,rbmscv,1.0,
Biographies. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00185,695,Biographies. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00185,,Biographies,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00185",0.92,
Biography. rbgenr,696,Biography. rbgenr,,Biographies,rbgenr,0.7,singular/plural mapping
black ebony (wood). rbmscv,697,black ebony (wood). rbmscv,,,"black ebony (wood), rbmscv",0.0,no_match (not in rbms_terms.json)
Black letter types (Type evidence) Germany 16th century. rbpri,698,Black letter types (Type evidence) Germany 16th century. rbpri,,Black letter types,"(Type evidence) Germany 16th century, rbpri",1.0,
Black letter types (Type evidence) Germany 16th century. rbtyp,699,Black letter types (Type evidence) Germany 16th century. rbtyp,,Black letter types,"(Type evidence) Germany 16th century, rbtyp",0.95,
Black letter types (Type evidence) Germany 17th century. rbtyp,,,,,,,
Black letter types (Type evidence) Italy 15th century. rbtyp,700,Black letter types (Type evidence) Italy 15th century. rbtyp,,Black letter types,"(Type evidence) Italy 15th century, rbtyp",0.95,
Black letter types (Type evidence) Italy Venice 1489. rbtyp,,,,,,,
Black letter types (Type evidence) rbtyp,,,,,,,
" Black letter types (Type evidence) United States Washington, D.C. 1932. rbtyp",,,,,,,
Blank forms. rbgenr,701,Blank forms. rbgenr,,Blank forms,rbgenr,1.0,
Blank forms. rbmscv,702,Blank forms. rbmscv,,Blank forms,rbmscv,1.0,
Blind impressions (Printing) Italy Verona 1540. rbpri,703,Blind impressions (Printing) Italy Verona 1540. rbpri,,Blind impressions,"(Printing) Italy Verona 1540, rbpri",1.0,
Blind stamped bindings (Binding) 17th century. rbbin MMeT,704,Blind stamped bindings (Binding) 17th century. rbbin MMeT,,Blind stamped bindings,"(Binding) 17th century, rbbin, MMeT",1.0,
Blind stamped bindings (Binding) rbbin,705,Blind stamped bindings (Binding) rbbin,,Blind stamped bindings,"(Binding), rbbin",1.0,
Blind stamped bindings (Binding) rbbin MMeT,706,Blind stamped bindings (Binding) rbbin MMeT,,Blind stamped bindings,"(Binding), rbbin, MMeT",1.0,
Blind stamped bindings. rbmscv MMeT,707,Blind stamped bindings. rbmscv MMeT,,Blind stamped bindings,"rbmscv, MMeT",0.95,
Blind stamps (Provenance) rbprov MMeT,708,Blind stamps (Provenance) rbprov MMeT,,Blind stamps,"(Provenance), rbprov, MMeT",1.0,
Blind tooled bindings (Binding) 16th century. rbbin MMeT,709,Blind tooled bindings (Binding) 16th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 16th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 17th century. rbbin MMeT,710,Blind tooled bindings (Binding) 17th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 17th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 18th century. rbbin MMeT,711,Blind tooled bindings (Binding) 18th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 18th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 19th century. rbbin MMeT,712,Blind tooled bindings (Binding) 19th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 19th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 20th century. rbbin MMeT,713,Blind tooled bindings (Binding) 20th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 20th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) Germany 16th century. rbbin MMeT,714,Blind tooled bindings (Binding) Germany 16th century. rbbin MMeT,,Blind tooled bindings,"(Binding) Germany 16th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) Italy Florence 16th century. rbbin MMeT,715,Blind tooled bindings (Binding) Italy Florence 16th century. rbbin MMeT,,Blind tooled bindings,"(Binding) Italy Florence 16th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) rbbin,716,Blind tooled bindings (Binding) rbbin,,Blind tooled bindings,"(Binding), rbbin",1.0,
Blind tooled bindings (Binding) rbbin MMeT,717,Blind tooled bindings (Binding) rbbin MMeT,,Blind tooled bindings,"(Binding), rbbin, MMeT",1.0,
Blind tooled bindings (Binding). rbbin MMeT,718,Blind tooled bindings (Binding). rbbin MMeT,,Blind tooled bindings,"rbbin, MMeT",0.95,
Blind tooled bindings (Bindings) rbbin MMeT,719,Blind tooled bindings (Bindings) rbbin MMeT,,Blind tooled bindings,"(Bindings), rbbin, MMeT",0.95,
Blind tooled bindings (Bindings). rbbin MMeT,720,Blind tooled bindings (Bindings). rbbin MMeT,,Blind tooled bindings,"rbbin, MMeT",0.95,
Blind tooled bindings. rbmscv MMeT,721,Blind tooled bindings. rbmscv MMeT,,Blind tooled bindings,"rbmscv, MMeT",0.95,
Blocked bindings (Binding) rbbin MMeT,722,Blocked bindings (Binding) rbbin MMeT,,Blocked bindings,"(Binding), rbbin, MMeT",1.0,
Blow books rbmscv,723,Blow books rbmscv,,Blow books,rbmscv,1.0,
Board fastenings (Binding) rbbin MMeT,724,Board fastenings (Binding) rbbin MMeT,,Bosses (Bindings),"(Binding) board fastenings mapped to Bosses (Bindings)?, rbbin, MMeT",0.6,ambiguous — no exact RBMS term for 'Board fastenings' so best match attempted
Boards (Binding) 20th century. rbbin MMeT,725,Boards (Binding) 20th century. rbbin MMeT,,Boards,"(Binding) 20th century, rbbin, MMeT",1.0,
Boards (Binding) rbbin MMeT,726,Boards (Binding) rbbin MMeT,,Boards,"(Binding), rbbin, MMeT",1.0,
Boards. rbmscv,727,Boards. rbmscv,,Boards,rbmscv,1.0,
Book advertisements United States 1984. rbgenr,728,Book advertisements United States 1984. rbgenr,,Advertisements,"Book advertisements United States 1984, rbgenr",0.9,
Book prices (Publishing) Great Britain 19th century. rbpub,729,Book prices (Publishing) Great Britain 19th century. rbpub,,Book prices,"(Publishing) Great Britain 19th century, rbpub",0.95,
Book prospectuses United States 20th century. rbgenr,730,Book prospectuses United States 20th century. rbgenr,,Book prospectuses,"United States 20th century, rbgenr",1.0,
Bookmarks. rbgenr,731,Bookmarks. rbgenr,,Bookmarks,rbgenr,1.0,
Bookplates (Provenance) 19th century. rbprov MMeT,732,Bookplates (Provenance) 19th century. rbprov MMeT,,Bookplates,"(Provenance) 19th century, rbprov, MMeT",1.0,
Bookplates (Provenance) 20th century rbprov MMeT,733,Bookplates (Provenance) 20th century rbprov MMeT,,Bookplates,"(Provenance) 20th century, rbprov, MMeT",1.0,
Bookplates (Provenance) 20th century. rbprov,734,Bookplates (Provenance) 20th century. rbprov,,Bookplates,"(Provenance) 20th century, rbprov",1.0,
Bookplates (Provenance) 20th century. rbprov MMeT,735,Bookplates (Provenance) 20th century. rbprov MMeT,,Bookplates,"(Provenance) 20th century, rbprov, MMeT",1.0,
Bookplates (Provenance) England London 17th century. rbprov MMeT,736,Bookplates (Provenance) England London 17th century. rbprov MMeT,,Bookplates,"(Provenance) England London 17th century, rbprov, MMeT",1.0,
Bookplates (Provenance) rbbin,737,Bookplates (Provenance) rbbin,,Bookplates,"(Provenance), rbbin",0.95,
Bookplates (Provenance) rbprov,738,Bookplates (Provenance) rbprov,,Bookplates,"(Provenance), rbprov",1.0,
Bookplates (Provenance) rbprov MMeT,739,Bookplates (Provenance) rbprov MMeT,,Bookplates,"(Provenance), rbprov, MMeT",1.0,
Bookplates (Provenance). rbprov,740,Bookplates (Provenance). rbprov,,Bookplates,"(Provenance), rbprov",1.0,
Bookplates (Provenance). rbprov MMeT,741,Bookplates (Provenance). rbprov MMeT,,Bookplates,"(Provenance), rbprov, MMeT",1.0,
Bookplates. rbmscv,742,Bookplates. rbmscv,,Bookplates,rbmscv,1.0,
Bookplates. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00138,743,Bookplates. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00138,,Bookplates,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00138",0.95,
Bookplates. rbmscv MMeT,,,,,,,
Books issued in fascicles (Publishing) Original fascicles. rbpub,744,Books issued in fascicles (Publishing) Original fascicles. rbpub,,Part-issued books in volume form,"(Publishing) Original fascicles, rbpub",0.85,
Books issued in fascicles (Publishing) rbpub,745,Books issued in fascicles (Publishing) rbpub,,Part-issued books in volume form,"(Publishing), rbpub",0.85,
Books of hours. rbgenr,746,Books of hours. rbgenr,,Books of hours,rbgenr,1.0,
Books printed as advertisements 1868. rbgenr,747,Books printed as advertisements 1868. rbgenr,,Books printed as advertisements,"1868, rbgenr",1.0,
