id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
1667	Juvenile literature Massachusetts Boston 1938. rbgenr		Juvenile literature	Massachusetts Boston 1938, rbgenr	1		
1668	Juvenile literature Massachusetts Boston 1974. rbgenr		Juvenile literature	Massachusetts Boston 1974, rbgenr	1		
1669	Juvenile literature Massachusetts Boston 1986. rbgenr		Juvenile literature	Massachusetts Boston 1986, rbgenr	1		
1670	Juvenile literature New York (N.Y.) 1983. rbgenr		Juvenile literature	New York (N.Y.) 1983, rbgenr	1		
1671	Juvenile literature New York (N.Y.) 1984. rbgenr		Juvenile literature	New York (N.Y.) 1984, rbgenr	1		
1672	Juvenile literature New York (N.Y.) 1986. rbgenr		Juvenile literature	New York (N.Y.) 1986, rbgenr	1		
1673	Juvenile literature New York (State) Garden City 1953. rbgenr		Juvenile literature	New York (State) Garden City 1953, rbgenr	1		
1674	Juvenile literature New York (State) New York 1849. rbgenr		Juvenile literature	New York (State) New York 1849, rbgenr	1		
1675	Juvenile literature New York (State) New York 1907. rbgenr		Juvenile literature	New York (State) New York 1907, rbgenr	1		
1676	Juvenile literature New York (State) New York 1934. rbgenr		Juvenile literature	New York (State) New York 1934, rbgenr	1		
1677	Juvenile literature New York (State) New York 1939. rbgenr		Juvenile literature	New York (State) New York 1939, rbgenr	1		
1678	Juvenile literature 1939 rbmscv		Juvenile literature	1939, rbmscv	1		
1679	Juvenile literature. rbgenr		Juvenile literature	rbgenr	1		
1680	Juvenile literature. rbgenr CtHT		Juvenile literature	rbgenr, CtHT	0.9		
1681	Juvenile literature. rbmscv		Juvenile literature	rbmscv	1		
1682	Juvenile literature. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00985		Juvenile literature	rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00985	0.92		
1683	Juvenilia New York (State) New York 1925. rbgenr		Juvenilia	New York (State) New York 1925, rbgenr	1		
1684	Keepsakes Great Britain 20th century. rbgenr		Keepsakes	Great Britain 20th century, rbgenr	1		
1685	Keepsakes Maine Rockport 2020. rbgenr		Keepsakes	Maine Rockport 2020, rbgenr	1		
1686	Kozo fibers (Paper) rbpap		Kozo fiber papers	(Paper), rbpap	1		
1687	Kozo fibers (Paper) United States 21st century. rbpap		Kozo fiber papers	(Paper) United States 21st century, rbpap	0.95		
1688	Labels (Provenance) England 19th century rbprov MMeT		Labels (Provenance)	England 19th century, rbprov, MMeT	1		
1689	Labels (Provenance) England 19th century. rbprov MMeT		Labels (Provenance)	England 19th century, rbprov, MMeT	1		
1690	Labels (Provenance) rbprov MMeT		Labels (Provenance)	rbprov, MMeT	1		
1691	Laid papers (Paper) rbpap		Laid papers	(Paper), rbpap	1		
1692	Large paper printings (Printing) England London 18th century. rbpri		Large paper printings	(Printing) England London 18th century, rbpri	1		
1693	Large paper printings (Printing) England London 19th century. rbpri		Large paper printings	(Printing) England London 19th century, rbpri	1		
1694	Large paper printings (Printing) rbpri PPT		Large paper printings	(Printing), rbpri, PPT	0.9		
1695	Laws. rbgenr		Laws	rbgenr	1		
1696	Leaf books (Genre). rbgenr		Leaf books	rbgenr	1		
1697	Leaf books 20th century. rbgenr		Leaf books	20th century, rbgenr	1		
1698	Leaf books 20th century. rbmscv		Leaf books	20th century, rbmscv	1		
1699	Leaf books. rbgenr		Leaf books	rbgenr	1		
1700	Leaf books. rbmscv		Leaf books	rbmscv	1		
1701	Leather bindings (Binding) 16th century. rbbin MMeT		Leather bindings	(Binding) 16th century, rbbin, MMeT	1		
1702	Leather bindings (Binding) 19th century. rbbin		Leather bindings	(Binding) 19th century, rbbin	1		
1703	Leather bindings (Binding) rbbin		Leather bindings	(Binding), rbbin	1		
1704	Leather bindings (Binding) rbbin MMeT		Leather bindings	(Binding), rbbin, MMeT	1		
1705	Leather bindings. rbmscv		Leather bindings	rbmscv	1		
1706	Leather bindings. rbmscv MMeT		Leather bindings	rbmscv, MMeT	0.95		
1707	Leather blindings. rbmscv MMeT		Leather bindings	rbmscv, MMeT	0.6	typo in original (blindings -> bindings)	
1708	Lectures 20th century. rbgenr		Lectures	20th century, rbgenr	1		
1709	Lectures Massachusetts Boston 20th century. rbgenr		Lectures	Massachusetts Boston 20th century, rbgenr	0.95		
1710	Lectures. rbgenr		Lectures	rbgenr	1		
1711	Lectures. rbmscv		Lectures	rbmscv	1		
1712	Legal instruments England London 17th century. rbgenr		Legal instruments	England London 17th century, rbgenr	1		
1713	Legal petitions. rbgenr		Legal petitions	rbgenr	1		
1714	Legislative addresses 1789. rbmscv		Legislative addresses	1789, rbmscv	1		
1715	Legislative proceedings. rbgenr		Legislative proceedings	rbgenr	1		
1716	Lettering pieces (Binding) rbbin		Lettering pieces	(Binding), rbbin	1		
1717	Lettering pieces (Binding) rbbin MMeT		Lettering pieces	(Binding), rbbin, MMeT	0.95		
1718	Lettering pieces (Bindings) rbbin MMeT		Lettering pieces	(Bindings), rbbin, MMeT	0.95		
1719	Lettering pieces rbmscv MMeT		Lettering pieces	rbmscv, MMeT	0.9		
1720	Lettering pieces. rbmscv MMeT		Lettering pieces	rbmscv, MMeT	0.9		
1721	Lettering pieces.. rbmscv MMeT		Lettering pieces	rbmscv, MMeT	0.85	formatting irregularity	
1722	Letterpress types (Type evidence) rbtyp		Letterpress types	(Type evidence), rbtyp	1		
1723	Letters (Correspondence) rbgenr		Letters	(Correspondence), rbgenr	1		
1724	Letters 1913. rbgenr		Letters	1913, rbgenr	1		
1725	Letters 1956. rbgenr		Letters	1956, rbgenr	1		
1726	Letters 19th century. rbgenr		Letters	19th century, rbgenr	1		
1727	Letters California Represa 20th century. rbgenr		Letters	California Represa 20th century, rbgenr	0.9		
1728	Letters England 18th century. rbgenr		Letters	England 18th century, rbgenr	1		
1729	Letters England 18th century. rbmscv		Letters	England 18th century, rbmscv	1		
1730	Letters Italy Venice 16th century. rbgenr		Letters	Italy Venice 16th century, rbgenr	1		
1731	Letters New York (State) New York 19th century. rbmscv		Letters	New York (State) New York 19th century, rbmscv	0.95		
1732	Letters United States 21st century. rbgenr		Letters	United States 21st century, rbgenr	0.95		
1733	Letters. rbgenr		Letters	rbgenr	1		
1734	Letters. rbmscv		Letters	rbmscv	1		
1735	Library catalogs England London. rbgenr		Library catalogs	England London, rbgenr	1		
1736	Library catalogues England 16th century. rbgenr		Library catalogs	England 16th century, rbgenr	1		
1737	Library catalogues England Cambridge 19th century. rbgenr		Library catalogs	England Cambridge 19th century, rbgenr	1		
1738	Library catalogues. rbgenr		Library catalogs	rbgenr	1		
1739	Library copies (Provenance) England. rbprov MMeT		Library copies	(Provenance) England, rbprov, MMeT	1		
1740	Library copies (Provenance) rbprov MMeT		Library copies	(Provenance), rbprov, MMeT	0.95		
1741	Librettos. rbgenr		Librettos	rbgenr	1		
1742	Libri amicorum		Libri amicorum		0	no_match (not in rbms_terms.json)	
1743	Limb bindings (Binding) rbbin MMeT		Limb bindings	(Binding), rbbin, MMeT	1		
1744	Limitation statement (Publishing) rbpub		Limitation statements	(Publishing), rbpub	0.95		
1745	Limitation statements (Printing) California Berkeley. rbpri		Limitation statements	(Printing) California Berkeley, rbpri	0.95		
1746	Limitation statements (Printing) Colorado 21st century. rbpri		Limitation statements	(Printing) Colorado 21st century, rbpri	0.95		
1747	Limitation statements (Printing) England London 1831. rbpri		Limitation statements	(Printing) England London 1831, rbpri	0.95		
1748	Limitation statements (Printing) New York (State) New York (City) 1929. rbpri		Limitation statements	(Printing) New York (State) New York (City) 1929, rbpri	0.95		
1749	Limitation statements (Printing) New York (State) New York (City) 1940. rbpri		Limitation statements	(Printing) New York (State) New York (City) 1940, rbpri	0.95		
1750	Limitation statements (Printing) rbpri		Limitation statements	(Printing), rbpri	1		
1751	Limitation statements (Printing) United States 1982. rbpri		Limitation statements	(Printing) United States 1982, rbpri	0.95		
1752	Limitation statements (Printing) United States 20th century. rbpri		Limitation statements	(Printing) United States 20th century, rbpri	0.95		
1753	Limitation statements (Printing) United States California Santa Barbara 1979. rbpri		Limitation statements	(Printing) United States California Santa Barbara 1979, rbpri	0.95		
1754	Limitation statements (Printing). rbpri		Limitation statements	rbpri	0.95		
1755	Limitation statements (Publishing) Connecticut Stamford 1941. rbpub		Limitation statements	(Publishing) Connecticut Stamford 1941, rbpub	0.95		
1756	Limitation statements (Publishing) England 20th century. rbpub		Limitation statements	(Publishing) England 20th century, rbpub	0.95		
1757	Limitation statements (Publishing) England London 20th century. rbpub UkReU		Limitation statements	(Publishing) England London 20th century, rbpub, UkReU	0.9		
1758	Limitation statements (Publishing) France Paris 20th century. rbpub		Limitation statements	(Publishing) France Paris 20th century, rbpub	0.95		
1759	Limitation statements (Publishing) Great Britain 19th century. rbpub		Limitation statements	(Publishing) Great Britain 19th century, rbpub	0.95		
1760	Limitation statements (Publishing) Great Britain 20th century. rbpub		Limitation statements	(Publishing) Great Britain 20th century, rbpub	0.95		
1761	Limitation statements (Publishing) Ireland Dublin 20th century. rbpub		Limitation statements	(Publishing) Ireland Dublin 20th century, rbpub	0.95		
1762	Limitation statements (Publishing) Maine Portland 1912. rbpub		Limitation statements	(Publishing) Maine Portland 1912, rbpub	0.95		
1763	Limitation statements (Publishing) New York (State) 20th century. rbpub		Limitation statements	(Publishing) New York (State) 20th century, rbpub	0.95		
1764	Limitation statements (Publishing) New York (State) Brooklyn 2017. rbgenr		Limitation statements	(Publishing) New York (State) Brooklyn 2017, rbgenr	0.85		
1765	Limitation statements (Publishing) New York (State) New York 1909. rbpub		Limitation statements	(Publishing) New York (State) New York 1909, rbpub	0.95		
1766	Limitation statements (Publishing) New York (State) New York 1936. rbpub		Limitation statements	(Publishing) New York (State) New York 1936, rbpub	0.95		
1767	Limitation statements (Publishing) New York (State) New York 1984. rbpub		Limitation statements	(Publishing) New York (State) New York 1984, rbpub	0.95		
1768	Limitation statements (Publishing) New York (State) New York 2016. rbpub		Limitation statements	(Publishing) New York (State) New York 2016, rbpub	0.95		
1769	Limitation statements (Publishing) New York (State) New York 20th century. rbpub		Limitation statements	(Publishing) New York (State) New York 20th century, rbpub	0.95		
1770	Limitation statements (Publishing) New York New York 1932. rbpub		Limitation statements	(Publishing) New York New York 1932, rbpub	0.95		
1771	Limitation statements (Publishing) New York New York 1950. rbpub		Limitation statements	(Publishing) New York New York 1950, rbpub	0.95		
1772	Limitation statements (Publishing) rbmscv		Limitation statements	rbmscv	0.95		
1773	Limitation statements (Publishing) rbpub E8W		Limitation statements	rbpub, E8W	0.85		
1774	Limitation statements (Publishing) Ukraine 21st century. rbpub		Limitation statements	(Publishing) Ukraine 21st century, rbpub	0.9		
1775	Limitation statements (Publishing) United States 20th century. rbpub		Limitation statements	(Publishing) United States 20th century, rbpub	0.95		
1776	Limitation statements (Publishing). rbpub		Limitation statements	rbpub	0.95		
1777	Limitation statements rbmscv		Limitation statements	rbmscv	0.9		
1778	Limitation statements. rbmscv		Limitation statements	rbmscv	0.9		
1779	Limitation statements. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv01531		Limitation statements	rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv01531	0.92		
1780	Limitation statements. rbpri		Limitation statements	rbpri	0.85		
1781	Limitation statements. rbpub		Limitation statements	rbpub	0.85		
1782	Limitations statements (Publishing) 20th century. rbpub		Limitation statements	20th century, rbpub	0.8		
1783	Limited editions (Publishing) Japan 20th century. rbpub		Limited editions	(Publishing) Japan 20th century, rbpub	0.95		
1784	Limited editions (Publishing) rbpub		Limited editions	(Publishing), rbpub	1		
1785	Limited editions (Publishing) United States 20th century. rbpub		Limited editions	(Publishing) United States 20th century, rbpub	0.95		
1786	Limp bindings (Binding) 16th century. rbbin MMeT		Limp bindings	(Binding) 16th century, rbbin, MMeT	1		
1787	Limp bindings (Binding) Italy 17th century. rbbin MMeT		Limp bindings	(Binding) Italy 17th century, rbbin, MMeT	1		
1788	Limp bindings (Binding) rbbin		Limp bindings	(Binding), rbbin	1		
1789	Limp bindings (Binding) rbbin MMeT		Limp bindings	(Binding), rbbin, MMeT	1		
1790	Limp bindings. rbmscv MMeT		Limp bindings	rbmscv, MMeT	0.95		
1791	Literary hoaxes. rbgenr		Literary hoaxes	rbgenr	1		
1792	Literature of prejudice 19th century. rbgenr		Prejudicial works	19th century, rbgenr	0.7	approximate mapping to 'Prejudicial works'	
1793	Literature of prejudice. rbgenr		Prejudicial works	rbgenr	0.7	approximate mapping to 'Prejudicial works'	
1794	Little magazines Australia. rbgenr		Little magazines	Australia, rbgenr	1		
1795	Little magazines England. rbgenr		Little magazines	England, rbgenr	1		
1796	Little magazines Great Britain. rbgenr		Little magazines	Great Britain, rbgenr	1		
1797	Little magazines United States. rbgenr		Little magazines	United States, rbgenr	1		
1798	Little magazines. rbgenr		Little magazines	rbgenr	1		
1799	Little magazines. rbmscv		Little magazines	rbmscv	1		
1800	Liturgical books. rbgenr		Liturgical books	rbgenr	1		
1801	Livres d'artistes. rbgenr		Livres d'artistes	rbgenr	1		
1802	Local histories. rbgenr		Local histories	rbgenr	1		
1803	Loop-and-ball fastenings (Binding) rbbin MMeT		Loop-and-ball fastenings	(Binding), rbbin, MMeT	1		
1804	Machine-made papers (Paper) rbmscv		Machine-made papers	(Paper), rbmscv	1		
1805	Machine-made papers (Paper) rbpap		Machine-made papers	(Paper), rbpap	1		
1806	Manicules (Provenance) rbprov MMeT		Manicules	(Provenance), rbprov, MMeT	1		
1807	Manuals (Handbooks) 2016. rbgenr		Manuals (Handbooks)	2016, rbgenr	1		
1808	Manuals (Handbooks) England London 18th century rbgenr		Manuals (Handbooks)	England London 18th century, rbgenr	0.95		
1809	Manuals (Handbooks) rbgenr		Manuals (Handbooks)	rbgenr	1		
1810	Manuals (Handbooks). rbgenr		Manuals (Handbooks)	rbgenr	1		
1811	Manufacturers' catalogs New Jersey Princeton 20th century. rbgenr		Manufacturers' catalogs	New Jersey Princeton 20th century, rbgenr	1		
1812	Manufacturers' catalogs. rbgenr		Manufacturers' catalogs	rbgenr	1		
1813	Manuscript waste (Binding) rbbin		Manuscript waste	(Binding), rbbin	1		
1814	Manuscript waste (Binding) rbbin MMeT		Manuscript waste	(Binding), rbbin, MMeT	1		
1815	Maps 19th century. rbgenr		Maps	19th century, rbgenr	1		
1816	Maps 20th century. rbgenr		Maps	20th century, rbgenr	1		
1817	Maps Atlantic Ocean. rbgenr		Maps	Atlantic Ocean, rbgenr	1		
1818	Maps Canary Islands. rbgenr		Maps	Canary Islands, rbgenr	1		
1819	Maps Central America. rbgenr		Maps	Central America, rbgenr	1		
1820	Maps Connecticut New Haven. rbmscv		Maps	Connecticut New Haven, rbmscv	1		
1821	Maps Egypt. rbgenr		Maps	Egypt, rbgenr	1		
1822	Maps England London. rbgenr		Maps	England London, rbgenr	1		
1823	Maps Florida. rbmscv		Maps	Florida, rbmscv	1		
1824	Maps Greenland. rbgenr		Maps	Greenland, rbgenr	1		
1825	Maps Hispaniola. rbgenr		Maps	Hispaniola, rbgenr	1		
1826	Maps Jerusalem. rbgenr		Maps	Jerusalem, rbgenr	1		
1827	Maps Jerusalem. rbmscv		Maps	Jerusalem, rbmscv	1		
1828	Maps Kentucky. rbgenr		Maps	Kentucky, rbgenr	1		
1829	Maps Madeira Islands. rbgenr		Maps	Madeira Islands, rbgenr	1		
1830	Maps Maine. rbgenr		Maps	Maine, rbgenr	1		
1831	Maps Massachusetts Hadley. rbgenr		Maps	Massachusetts Hadley, rbgenr	1		
1832	Maps Massachusetts Hadley. rbmscv		Maps	Massachusetts Hadley, rbmscv	1		
1833	Maps Mexico. rbgenr		Maps	Mexico, rbgenr	1		
1834	Maps Middle East. rbgenr		Maps	Middle East, rbgenr	1		
1835	Maps Middle West. rbgenr		Maps	Middle West, rbgenr	1		
1836	Maps New York (State) New York. rbgenr		Maps	New York (State) New York, rbgenr	1		
1837	Maps New York (State) New York. rbmscv		Maps	New York (State) New York, rbmscv	1		
1838	Maps North America. rbgenr		Maps	North America, rbgenr	1		
1839	Maps North America. rbmscv		Maps	North America, rbmscv	1		
1840	Maps Northwest, Pacific. rbgenr		Maps	Northwest, Pacific, rbgenr	1		
1841	Maps Northwest, Pacific. rbmscv		Maps	Northwest, Pacific, rbmscv	1		
1842	Maps Nova Scotia Louisbourg. rbgenr		Maps	Nova Scotia Louisbourg, rbgenr	1		
1843	Maps Ohio River Valley. rbgenr		Maps	Ohio River Valley, rbgenr	1		
1844	Maps Ohio River Valley. rbmscv		Maps	Ohio River Valley, rbmscv	1		
1845	Maps Ohio. rbgenr		Maps	Ohio, rbgenr	1		
1846	Maps Palestine. rbmscv		Maps	Palestine, rbmscv	1		
1847	Maps Pennsylvania Philadelphia. rbgenr		Maps	Pennsylvania Philadelphia, rbgenr	1		
1848	Maps Scilley Isles. rbgenr		Maps	Scilley Isles, rbgenr	1		
1849	Maps South America. rbgenr		Maps	South America, rbgenr	1		
1850	Maps Southern States. rbmscv		Maps	Southern States, rbmscv	1		
1851	Maps United States 1780-1790. rbgenr		Maps	United States 1780-1790, rbgenr	1		
1852	Maps United States. rbgenr		Maps	United States, rbgenr	1		
1853	Maps United States. rbmscv		Maps	United States, rbmscv	1		
1854	Maps Virginia Yorktown. rbgenr		Maps	Virginia Yorktown, rbgenr	1		
1855	Maps World. rbgenr		Maps	World, rbgenr	1		
1856	Maps. rbgenr		Maps	rbgenr	1		
1857	Maps. rbmscv		Maps	rbmscv	1		
1858	Marbled calf bindings (Binding) rbbin MMeT		Marbled calf bindings	(Binding), rbbin, MMeT	1		
1859	Marbled edges (Binding) rbbin MMeT		Marbled edges	(Binding), rbbin, MMeT	1		
1860	Marbled edges. rbmscv MMeT		Marbled edges	rbmscv, MMeT	0.95		
1861	Marbled endpapers (Paper) England 19th century. rbpap StSaUL		Marbled endpapers	(Paper) England 19th century, rbpap, StSaUL	0.95		
