id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
875,books. rbgenr,matched,Books,rbgenr,1,
876,bindings (Binding) 2014. rbbin,matched,Bindings (Provenance),(Binding) 2014; rbbin,0.75,
877,bindings (Binding) rbbin,matched,Bindings (Provenance),(Binding); rbbin,0.9,
878,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
879,Delaware Wilmington 1800. rbgenr,no_match,,Delaware Wilmington 1800; rbgenr,0,
880,Massachusetts Boston 1784. rbgenr,no_match,,Massachusetts Boston 1784; rbgenr,0,
881,Massachusetts Cambridge 1755. rbgenr,no_match,,Massachusetts Cambridge 1755; rbgenr,0,
882,Massachusetts Cambridge 1762. rbgenr,no_match,,Massachusetts Cambridge 1762; rbgenr,0,
883,New York (N.Y.) 1794. rbgenr,no_match,,New York (N.Y.) 1794; rbgenr,0,
884,New York (N.Y.) 1800. rbgenr,no_match,,New York (N.Y.) 1800; rbgenr,0,
885,Pennsylvania Philadelphia 1791. rbgenr,no_match,,Pennsylvania Philadelphia 1791; rbgenr,0,
886,rbgenr,no_match,,rbgenr,0,
887,addresses 1764. rbgenr,no_match,,addresses 1764; rbgenr,0,
888,addresses 1789. rbgenr,no_match,,addresses 1789; rbgenr,0,
889,addresses Great Britain 1830-1847. rbgenr,no_match,,Great Britain 1830-1847; rbgenr,0,
890,addresses Washington (D.C.) 1862. rbgenr,no_match,,Washington (D.C.) 1862; rbgenr,0,
891,(Correspondence) rbgenr,no_match,,(Correspondence); rbgenr,0,
892,19th century. rbgenr,no_match,,19th century; rbgenr,0,
893,20th century. rbgenr,no_match,,20th century; rbgenr,0,
894,England 18th century. rbgenr,no_match,,England 18th century; rbgenr,0,
895,New York (N.Y.) 19th century. rbgenr,no_match,,New York (N.Y.) 19th century; rbgenr,0,
896,rbgenr,no_match,,rbgenr,0,
897,catalogs England London 2015. rbgenr,matched,Catalogs,England London 2015; rbgenr,0.9,
898,catalogues Pennsylvania Philadelphia. rbgenr,matched,Catalogs,Pennsylvania Philadelphia; rbgenr,0.9,
899,catalogues. rbgenr,matched,Catalogs,rbgenr,1,
900,statement (Publishing) rbpub,no_match,,statement (Publishing); rbpub,0,qualifier-only
901,statement. rbpub,no_match,,statement; rbpub,0,
902,statements (Printing) rbpri,no_match,,statements (Printing); rbpri,0,
903,statements (Publishing) England London 19th century. rbpub UkReU,no_match,,"(Publishing) England London 19th century; rbpub, UkReU",0,
904,statements (Publishing) England London 20th century. rbpub UkReU,no_match,,"(Publishing) England London 20th century; rbpub, UkReU",0,
905,statements (Publishing) England Oxfordshire 20th century. rbpub UkReU,no_match,,"(Publishing) England Oxfordshire 20th century; rbpub, UkReU",0,
906,statements (Publishing) France Paris 20th century. rbpub,no_match,,(Publishing) France Paris 20th century; rbpub,0,
907,statements (Publishing) Great Britain 20th century. rbpub,no_match,,(Publishing) Great Britain 20th century; rbpub,0,
908,statements (Publishing) Massachusetts Boston 1908. rbpub,no_match,,(Publishing) Massachusetts Boston 1908; rbpub,0,
909,statements (Publishing) Massachusetts Boston 20th century. rbpub,no_match,,(Publishing) Massachusetts Boston 20th century; rbpub,0,
910,statements (Publishing) rbpub,no_match,,(Publishing); rbpub,0,
911,statements (Publishing) United States 19th century. rbpub,no_match,,(Publishing) United States 19th century; rbpub,0,
912,statements (Publishing) United States 20th century. rbpub,no_match,,(Publishing) United States 20th century; rbpub,0,
913,statements Massachusetts Boston 1905. rbpri,no_match,,statements Massachusetts Boston 1905; rbpri,0,
914,statements. rbpri,no_match,,statements; rbpri,0,
915,bindings (Binding) England London 19th century. rbbin,matched,Bindings (Provenance),(Binding) England London 19th century; rbbin,0.85,
916,bindings (Binding) England London 20th century. rbbin,matched,Bindings (Provenance),(Binding) England London 20th century; rbbin,0.85,
917,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
918,criticism. rbgenr,matched,Criticism,rbgenr,0.8,
919,hoaxes. rbgenr,matched,Literary hoaxes,rbgenr,0.9,
920,magazines France. rbgenr,matched,Little magazines,France; rbgenr,0.75,
921,magazines Michigan Ann Arbor 21st century. rbgenr,matched,Little magazines,Michigan Ann Arbor 21st century; rbgenr,0.75,
922,magazines United States. rbgenr,matched,Little magazines,United States; rbgenr,0.75,
923,magazines. rbgenr,matched,Little magazines,rbgenr,0.75,
924,dartistes France Paris 20th century. rbgenr,no_match,,dartistes France Paris 20th century; rbgenr,0,corrupt/misspelt 'livres d'artistes' variant
925,d'artistes. rbgenr,no_match,,d'artistes; rbgenr,0,
926,histories. rbgenr,matched,Historical works,rbgenr,0.7,
927,poems. rbgenr,matched,Poems,rbgenr,1,
928,papers (Paper) rbpap,matched,Papers,rbpap,1,
929,(Handbooks) 20th century. rbgenr,no_match,,(Handbooks) 20th century; rbgenr,0,
930,(Handbooks) rbgenr,no_match,,(Handbooks); rbgenr,0,
931,(Handbooks). rbgenr,no_match,,(Handbooks); rbgenr,0,
932,catalogs New York (State) New York 20th century. rbgenr,matched,Catalogs,New York (State) New York 20th century; rbgenr,0.9,
933,catalogues. rbgenr,matched,Catalogs,rbgenr,1,
934,corrections (Printing and Publishing) United States 20th century. rbpub,matched,Errata lists (Publishing),United States 20th century; rbpub,0.6,best-effort mapping to errata/corrections
935,waste (Binding) rbbin MMeT,matched,Printed waste (Binding),"rbbin, MMeT",0.7,
936,Africa. rbgenr,no_match,,Africa; rbgenr,0,
937,Azores. rbgenr,no_match,,Azores; rbgenr,0,
938,Borneo. rbgenr,no_match,,Borneo; rbgenr,0,
939,China. rbgenr,no_match,,China; rbgenr,0,
940,Connecticut New Haven. rbgenr,no_match,,Connecticut New Haven; rbgenr,0,
941,Florida. rbgenr,no_match,,Florida; rbgenr,0,
942,Greece Syracuse. rbgenr,no_match,,Greece Syracuse; rbgenr,0,
943,Kentucky Louisville. rbgenr,no_match,,Kentucky Louisville; rbgenr,0,
944,Middle East. rbgenr,no_match,,Middle East; rbgenr,0,
945,Mississippi River Valley. rbgenr,no_match,,Mississippi River Valley; rbgenr,0,
946,New York (State) rbgenr,no_match,,New York (State); rbgenr,0,
947,North America. rbgenr,no_match,,North America; rbgenr,0,
948,Pacific Ocean. rbgenr,no_match,,Pacific Ocean; rbgenr,0,
949,Palestine. rbgenr,no_match,,Palestine; rbgenr,0,
950,Pennsylvania Philadelphia. rbgenr,no_match,,Pennsylvania Philadelphia; rbgenr,0,
951,Pennsylvania. rbgenr,no_match,,Pennsylvania; rbgenr,0,
952,Sierra Leone. rbgenr,no_match,,Sierra Leone; rbgenr,0,
953,South America. rbgenr,no_match,,South America; rbgenr,0,
954,Southern States. rbgenr,no_match,,Southern States; rbgenr,0,
955,Turkey. rbgenr,no_match,,Turkey; rbgenr,0,
956,United States. rbgenr,no_match,,United States; rbgenr,0,
957,Virginia. rbgenr,no_match,,Virginia; rbgenr,0,
958,World. rbgenr,no_match,,World; rbgenr,0,
959,rbgenr,no_match,,rbgenr,0,
960,paper bindings (Binding) 20th century. rbbin MMeT,matched,Paper bindings,"(Binding) 20th century; rbbin, MMeT",0.9,
961,paper bindings (Binding) rbbin,matched,Paper bindings,(Binding); rbbin,1,
962,paper bindings (Binding) rbbin MMeT,matched,Paper bindings,"(Binding); rbbin, MMeT",0.9,
963,paper bindings (Bindings). rbbin,matched,Paper bindings,(Bindings); rbbin,0.85,
964,papers (Binding) rbbin MMeT,no_match,,"papers (Binding); rbbin, MMeT",0,
965,papers (Paper) rbpap,matched,Papers,(Paper); rbpap,1,
966,papers (Paper) United States 18th century. rbpap MMeT,matched,Papers,"United States 18th century; rbpap, MMeT",0.9,
967,"papers, rbpap",matched,Papers,rbpap,0.9,
968,papers. rbpap,matched,Papers,rbpap,1,
969,sheepskin bindings rbmscv MMeT,matched,Sheepskin bindings,"rbmscv, MMeT",0.9,
970,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,
971,rbgenr,no_match,,rbgenr,0,
972,formularies England London 18th century. rbgenr,matched,Formularies,England London 18th century; rbgenr,0.95,
973,19th century. rbgenr,no_match,,19th century; rbgenr,0,
974,rbgenr,no_match,,rbgenr,0,
975,(Commemorative) rbgenr,no_match,,(Commemorative); rbgenr,0,
976,(Legal) rbgenr,no_match,,(Legal); rbgenr,0,
977,rbgenr,no_match,,rbgenr,0,
978,manuals. rbgenr,matched,Manuals (Handbooks),rbgenr,0.9,
979,registers. rbgenr,matched,Registers,rbgenr,0.6,generic mapping to registers
980,books (printing) rbpri,matched,Books (Printing),rbpri,0.95,
981,books. rbpri,matched,Books (Printing),rbpri,0.9,
982,plays United States 20th century. rbgenr,matched,Plays,United States 20th century; rbgenr,0.95,
983,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,
984,bindings (Binding) England 18th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) England 18th century; rbbin, MMeT",0.85,
985,bindings (Binding) France 17th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) France 17th century; rbbin, MMeT",0.85,
986,bindings (Binding) Italy Venice 18th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) Italy Venice 18th century; rbbin, MMeT",0.85,
987,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
988,bindings (Bindings) England London 17th century. rbbin MMeT,matched,Bindings (Provenance),"(Bindings) England London 17th century; rbbin, MMeT",0.85,
989,bindings (Bindings). rbbin,matched,Bindings (Provenance),(Bindings); rbbin,0.85,
990,calf bindings (Binding) 17th century. rbbin MMeT,matched,Calf bindings,"(Binding) 17th century; rbbin, MMeT",1,
991,calf bindings (Binding) 18th century. rbbin MMeT,matched,Calf bindings,"(Binding) 18th century; rbbin, MMeT",1,
992,calf bindings (Binding) 19th century. rbbin MMeT,matched,Calf bindings,"(Binding) 19th century; rbbin, MMeT",1,
993,calf bindings (Binding) England 18th century. rbbin MMeT,matched,Calf bindings,"(Binding) England 18th century; rbbin, MMeT",1,
994,calf bindings (Binding) rbbin MMeT,matched,Calf bindings,"(Binding); rbbin, MMeT",1,
995,calf bindings (Bindings) rbbin MMeT,matched,Calf bindings,"(Bindings); rbbin, MMeT",0.95,
996,catalogues. rbgenr,matched,Catalogs,rbgenr,1,
997,works. rbgenr,no_match,,rbgenr,0,
998,and detective fiction 1933. rbgenr,matched,Mystery and detective fiction,1933; rbgenr,0.75,
999,and detective fiction 1935. rbgenr,matched,Mystery and detective fiction,1935; rbgenr,0.75,
1000,and detective fiction France. rbgenr,matched,Mystery and detective fiction,France; rbgenr,0.75,
1001,and legends rbgenr,matched,Myths and legends,rbgenr,0.9,
1002,and legends. rbgenr,matched,Myths and legends,rbgenr,0.9,
1003,19th century. rbgenr,no_match,,19th century; rbgenr,0,qualifier-only ??? no single RBMS term
1004,California 19th century. rbgenr,no_match,,California 19th century; rbgenr,0,
1005,rbgenr,no_match,,rbgenr,0,
1006,songs. rbgenr,matched,Songs,rbgenr,1,
1007,Year sermons 1719. rbgenr,matched,Year sermons,1719; rbgenr,1,
1008,Year sermons 1770. rbgenr,matched,Year sermons,1770; rbgenr,1,
1009,rbgenr,no_match,,rbgenr,0,
1010,verse 1981. rbgenr,matched,Nonsense verse,1981; rbgenr,0.8,
1011,England London 19th century. rbgenr,no_match,,England London 19th century; rbgenr,0,
1012,Massachusetts Boston 19th century. rbgenr,no_match,,Massachusetts Boston 19th century; rbgenr,0,
1013,New York (State) New York. rbgenr,no_match,,New York (State) New York; rbgenr,0,
1014,rbgenr,no_match,,rbgenr,0,
1015,rhymes 1993. rbgenr,matched,Nursery rhymes,1993; rbgenr,0.85,
1016,England 1844. rbpri,no_match,,England 1844; rbpri,0,
1017,England 1864. rbpri,no_match,,England 1864; rbpri,0,
1018,England 1874. rbpri,no_match,,England 1874; rbpri,0,
1019,format (Printing) 18th century. rbpri,no_match,,(Printing) 18th century; rbpri,0,
1020,format (Printing) Austria Freistadt 17th century. rbpri,no_match,,(Printing) Austria Freistadt 17th century; rbpri,0,
1021,format (Printing) England 17th century. rbpri,no_match,,(Printing) England 17th century; rbpri,0,
1022,format (Printing) England Birmingham 18th century. rbpri,no_match,,(Printing) England Birmingham 18th century; rbpri,0,
1023,format (Printing) England London 18th century. rbpri,no_match,,(Printing) England London 18th century; rbpri,0,
1024,format (Printing) England London 19th century. rbpri,no_match,,(Printing) England London 19th century; rbpri,0,
1025,format (Printing) Germany Halle-Neustadt (Stadtkreis) 18th century. rbpri,no_match,,(Printing) Germany Halle-Neustadt 18th century; rbpri,0,
1026,format (Printing) Germany K??nigsberg 18th century. rbpri,no_match,,(Printing) Germany K??nigsberg 18th century; rbpri,0,
1027,format (Printing) Germany Leipzig 18th century. rbpri,no_match,,(Printing) Germany Leipzig 18th century; rbpri,0,
1028,format (Printing) Germany Leipzig 19th century. rbpri,no_match,,(Printing) Germany Leipzig 19th century; rbpri,0,
1029,format (Printing) Germany T??bingen 18th century. rbpri,no_match,,(Printing) Germany T?¶bingen 18th century; rbpri (encoding),0,encoding variant ??? no term
1030,format (Printing) Ireland Dublin 18th century. rbpri,no_match,,(Printing) Ireland Dublin 18th century; rbpri,0,
1031,format (Printing) Italy Venice 16th century. rbpri,no_match,,(Printing) Italy Venice 16th century; rbpri,0,
1032,format (Printing) Netherlands Leiden 18th century. rbpri,no_match,,(Printing) Netherlands Leiden 18th century; rbpri,0,
1033,format (Printing) Pennsylvania Northumberland County 18th century. rbpri,no_match,,(Printing) Pennsylvania Northumberland County 18th century; rbpri,0,
1034,format (Printing) rbpri,no_match,,(Printing); rbpri,0,
1035,format (Printing) Spain Madrid 18th century. rbpri,no_match,,(Printing) Spain Madrid 18th century; rbpri,0,
1036,format (Printing) Switzerland Geneva (Republic) 17th century. rbpri,no_match,,(Printing) Switzerland Geneva 17th century; rbpri,0,
1037,format (Printing)England London 18th century. rbpri,no_match,,(Printing) England London 18th century; rbpri,0,
1038,Germany Berlin 20th century. rbgenr,no_match,,Germany Berlin 20th century; rbgenr,0,
1039,Italy Milan 20th century. rbgenr,no_match,,Italy Milan 20th century; rbgenr,0,
1040,histories. rbgenr,matched,Historical works,rbgenr,0.7,
1041,sermons 1713. rbgenr,matched,Sermons,1713; rbgenr,1,
1042,sermons 1718. rbgenr,matched,Sermons,1718; rbgenr,1,
1043,sermons 1726. rbgenr,matched,Sermons,1726; rbgenr,1,
1044,sermons 1728. rbgenr,matched,Sermons,1728; rbgenr,1,
1045,sermons 1743. rbgenr,matched,Sermons,1743; rbgenr,1,
1046,sermons 1749. rbgenr,matched,Sermons,1749; rbgenr,1,
1047,sermons 1752. rbgenr,matched,Sermons,1752; rbgenr,1,
1048,sermons 1756. rbgenr,matched,Sermons,1756; rbgenr,1,
1049,sermons 1761. rbgenr,matched,Sermons,1761; rbgenr,1,
1050,sermons 1772. rbgenr,matched,Sermons,1772; rbgenr,1,
1051,sermons 1789. rbgenr,matched,Sermons,1789; rbgenr,1,
1052,sermons 1791. rbgenr,matched,Sermons,1791; rbgenr,1,
1053,sermons 1795. rbgenr,matched,Sermons,1795; rbgenr,1,
1054,journals. rbgenr,matched,Journals,rbgenr,0.8,
1055,proofs (Printing) New York (State) New York 1971. rbpri MH-H,matched,Proofs,(Printing) New York (State) New York 1971; rbpri MH-H,0.95,
1056,proofs (Printing) New York (State) New York 1973. rbpri MH-H,matched,Proofs,(Printing) New York (State) New York 1973; rbpri MH-H,0.95,
1057,proofs (Printing) New York (State) New York 1994. rbpri MH-H,matched,Proofs,(Printing) New York (State) New York 1994; rbpri MH-H,0.95,
1058,proofs (Printing) New York Garden City 1979. rbpri MH-H,matched,Proofs,(Printing) New York Garden City 1979; rbpri MH-H,0.95,
1059,proofs (Printing) rbpri,matched,Proofs,rbpri,1,
1060,proofs (Printing) rbpri MH-H,matched,Proofs,rbpri MH-H,0.95,
1061,proofs. rbpri MH-H,matched,Proofs,rbpri MH-H,0.95,
1062,errors (Printing) Massachusetts 1800. rbpri,matched,Pagination errors (Printing),Massachusetts 1800; rbpri,0.6,mapped to printing error category
1063,errors (Printing) rbpri MMeT,matched,Imposition errors (Printing),"rbpri, MMeT",0.6,printing-error group mapping
1064,bindings (Binding) England London 17th century. rbbin,matched,Bindings (Provenance),(Binding) England London 17th century; rbbin,0.85,
1065,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
1066,bindings (Binding) 19th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 19th century; rbbin, MMeT",0.8,
1067,(Printing and Publishing) United States 20th century. rbpub,no_match,,(Printing and Publishing) United States 20th century; rbpub,0,
1068,rbgenr,no_match,,rbgenr,0,
1069,(Publishing) England London 19th century. rbpub,no_match,,(Publishing) England London 19th century; rbpub,0,
1070,paper bindings (Binding) rbbin MMeT,matched,Paper bindings,"(Binding); rbbin, MMeT",0.9,
1071,(Binding) rbbin MMeT,no_match,,"(Binding); rbbin, MMeT",0,
1072,poetry Italy 14th century. rbgenr,matched,Poems,Italy 14th century; rbgenr,1,
1073,17th century. rbgenr,no_match,,17th century; rbgenr,0,
1074,Austria Vienna. rbgenr,no_match,,Austria Vienna; rbgenr,0,
1075,England 19th century. rbgenr,no_match,,England 19th century; rbgenr,0,
1076,England 20th century. rbgenr,no_match,,England 20th century; rbgenr,0,
1077,Massachusetts Boston. rbgenr,no_match,,Massachusetts Boston; rbgenr,0,
1078,New York (State) New York. rbgenr,no_match,,New York (State) New York; rbgenr,0,
1079,New York New York rbgenr,no_match,,New York New York; rbgenr,0,
1080,New York New York. rbgenr,no_match,,New York New York; rbgenr,0,
1081,Pennsylvania Philadelphia. rbgenr,no_match,,Pennsylvania Philadelphia; rbgenr,0,
1082,rbgenr,no_match,,rbgenr,0,
1083,rbgenr,no_match,,rbgenr,0,
1084,literature France 18th century. rbgenr,no_match,,France 18th century; rbgenr,0,
1085,cloth bindings (Binding) 19th century. rbgenr,matched,Cloth bindings,(Binding) 19th century; rbgenr,0.85,
1086,bindings (Binding) Germany 16th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) Germany 16th century; rbbin, MMeT",0.85,
1087,- Germany - Munich - 20th century. rbgenr,no_match,,Germany Munich 20th century; rbgenr,0,
1088,1764. rbgenr,no_match,,1764; rbgenr,0,
1089,1767. rbgenr,no_match,,1767; rbgenr,0,
1090,1775. rbgenr,no_match,,1775; rbgenr,0,
1091,1776. rbgenr,no_match,,1776; rbgenr,0,
1092,1777. rbgenr,no_match,,1777; rbgenr,0,
1093,1784. rbgenr,no_match,,1784; rbgenr,0,
1094,1788. rbgenr,no_match,,1788; rbgenr,0,
1095,1789. rbgenr,no_match,,1789; rbgenr,0,
1096,1790. rbgenr,no_match,,1790; rbgenr,0,
1097,1792. rbgenr,no_match,,1792; rbgenr,0,
1098,1793. rbgenr,no_match,,1793; rbgenr,0,
1099,1794. rbgenr,no_match,,1794; rbgenr,0,
1100,1795. rbgenr,no_match,,1795; rbgenr,0,
1101,Integral errata lists (Printing) England London 1767. rbpri,matched,Integral errata lists,(Printing) England London 1767; rbpri,1,
1102,Integral errata lists (Printing) England London 1788. rbpri,matched,Integral errata lists,(Printing) England London 1788; rbpri,1,
1103,Integral errata lists (Printing) France 16th century. rbpri,matched,Integral errata lists,(Printing) France 16th century; rbpri,1,
1104,Integral errata lists (Printing) rbpri,matched,Integral errata lists,(Printing); rbpri,1,
1105,Integral errata lists (Printings) rbpri,matched,Integral errata lists,(Printings); rbpri,0.9,minor variant
